Wall time,Step,Value
1719372151.5866578,0,-518.471435546875
1719372152.967347,10000,-524.6409301757812
1719372154.6389146,20000,-524.4859619140625
1719372176.728493,30000,-176.46469116210938
1719372198.8491,40000,-147.6398162841797
1719372227.2560549,50000,-77.34774017333984
1719372245.7383804,60000,-162.89736938476562
1719372264.361428,70000,-157.8426971435547
1719372288.0123973,80000,-156.04811096191406
1719372314.3562758,90000,-98.81517791748047
1719372342.126393,100000,-139.74810791015625
1719372369.3444812,110000,-116.7707748413086
1719372396.601277,120000,-86.38523864746094
1719372424.867306,130000,-56.32586669921875
1719372451.955619,140000,-110.44097900390625
1719372477.6571848,150000,-83.69532775878906
1719372504.6707716,160000,-29.68218994140625
1719372533.9040284,170000,-54.59204864501953
1719372558.2920208,180000,-94.404296875
1719372585.163679,190000,-66.42417907714844
1719372612.9153152,200000,-68.90608978271484
1719372641.37023,210000,-148.07972717285156
1719372670.0510387,220000,-50.869815826416016
1719372698.850451,230000,-56.01823806762695
1719372728.9881058,240000,-19.10940170288086
1719372756.1416833,250000,-24.280017852783203
1719372783.9727368,260000,-35.349769592285156
1719372810.467136,270000,-54.165061950683594
1719372837.6078355,280000,-118.10005950927734
1719372865.0804112,290000,-129.47683715820312
